"total_cup_points","species","country_of_origin","region","harvest_year","grading_date","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","color"
85.25,"Arabica","Guatemala","oriente","2016","April 27th, 2016",8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,"Green"
85.25,"Arabica","Colombia","santander","2015","April 8th, 2015",8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,"Green"
85.25,"Arabica","Colombia","santander","2014","January 17th, 2014",7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,"Green"
85.17,"Arabica","Indonesia","lintong","2012","November 26th, 2012",7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,"Green"
85.08,"Arabica","Ethiopia","kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.","2016","August 9th, 2016",7.75,8,7.58,8,8,7.92,10,10,10,7.83,"Green"
85.08,"Arabica","Ethiopia","aricha","2014","October 7th, 2014",8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,"Green"
85.08,"Arabica","United States (Hawaii)","kona","2014","March 10th, 2014",7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,"Bluish-Green"
85.08,"Arabica","Colombia","cundinamarca","2012","March 16th, 2012",7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,"Green"
85,"Arabica","Uganda","eastern uganda","2016","July 24th, 2017",8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,"Green"
85,"Arabica","Colombia","huila","2016","February 15th, 2017",8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,"Green"
85,"Arabica","Costa Rica","tarrazu","2016","January 30th, 2017",7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,"Green"
85,"Arabica","Mexico","veracruz","2015","September 21st, 2016",7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,"Green"
85,"Arabica","Kenya",NA,"2015","May 7th, 2016",8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,"Green"
85,"Arabica","Kenya","central kenya","2012","April 19th, 2013",7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,"Green"
85,"Arabica","Brazil","grama valley","2012","February 29th, 2012",8,8,7.83,7.83,7.67,7.67,10,10,10,8,"Green"
84.92,"Arabica","Colombia","huila","2015","October 26th, 2015",7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,"Green"
84.92,"Arabica","Taiwan","natou county","2015","June 9th, 2015",7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,"Green"
84.92,"Arabica","Tanzania, United Republic Of","mbeya","2014","December 12th, 2014",8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,"Green"
84.92,"Arabica","Colombia","huila","2012","December 11th, 2012",7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,"Green"
84.92,"Arabica","Brazil","south of minas","2011","December 23rd, 2011",8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,"Green"
84.92,"Arabica","Brazil","south of minas","2011","December 3rd, 2011",8,8,7.75,8,7.5,7.75,10,10,10,7.92,"Green"
84.83,"Arabica","Taiwan","dongshan dist., tainan city 臺南市東山區","2016","May 18th, 2016",7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,"Green"
84.83,"Arabica","Uganda","eastern","2013","June 30th, 2014",7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,"Green"
84.75,"Arabica","Thailand","thailand","2015","June 27th, 2016",7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,"Green"
84.75,"Arabica","Kenya","nyeri","2014","June 2nd, 2015",7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,"Green"
84.75,"Arabica","Honduras","marcala","2014","April 25th, 2014",7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,"Green"
84.67,"Arabica","El Salvador","apaneca","2016","June 26th, 2017",7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,"Blue-Green"
84.67,"Arabica","Indonesia","temanggung, indonesia","2016","November 24th, 2016",7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,"Green"
84.67,"Arabica","Japan","ada okinawa japan",NA,"November 2nd, 2016",7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,"Green"
84.67,"Arabica","Costa Rica","tarrazu","2015","October 4th, 2016",8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,"Blue-Green"
84.67,"Arabica","Guatemala","acatenango","2015","June 1st, 2016",7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,"Green"
84.67,"Arabica","Costa Rica","tarrazu","2014","July 6th, 2015",8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,"Green"
84.67,"Arabica","Costa Rica","costa rica","2014","May 23rd, 2015",7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,"Green"
84.67,"Arabica","Costa Rica","west valley","2014","March 5th, 2014",8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,"Green"
84.67,"Arabica","Costa Rica",NA,"2012","January 3rd, 2014",8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,"Green"
84.67,"Arabica","Taiwan","taichung xinshe 台中市新社區","2013/2014","December 26th, 2013",8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,"Green"
84.67,"Arabica","Colombia","santander","2013","December 20th, 2013",7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,"Green"
84.67,"Arabica","Kenya","nyeri","2012","September 16th, 2012",7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,"Bluish-Green"
84.67,"Arabica","Guatemala","oriente","2012","July 17th, 2012",8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,"Green"
84.67,"Arabica","Guatemala","acatenango","2012","July 3rd, 2012",7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,"Green"
84.67,"Arabica","Uganda","mbale","2012","February 13th, 2012",7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,"Blue-Green"
84.58,"Arabica","Kenya","nyeri",NA,"January 11th, 2018",7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,"Blue-Green"
84.58,"Arabica","Colombia","santander","2016","January 10th, 2017",7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,"Blue-Green"
84.58,"Arabica","Colombia","huila","2016","December 28th, 2016",7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,"Green"
84.58,"Arabica","Kenya","nyeri","2013","July 21st, 2014",7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,"Bluish-Green"
84.58,"Arabica","Guatemala","jalapa","2014","May 29th, 2014",7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,"Green"
84.58,"Arabica","Guatemala","oriente","2014","March 24th, 2014",8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,"Green"
84.58,"Arabica","Kenya",NA,"2013","August 30th, 2013",7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,"Green"
84.58,"Arabica","Colombia","huila","2012","July 17th, 2013",7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,"Green"
84.58,"Arabica","Costa Rica","tres rios","2012","March 12th, 2013",7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,"Bluish-Green"
84.58,"Arabica","Colombia","huila","2012","October 9th, 2012",7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,"Green"
84.58,"Arabica","Brazil","vale da grama","2011","December 23rd, 2011",8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,"Green"
84.58,"Arabica","Brazil","mountains of minas gerais","2011","December 3rd, 2011",8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,"Blue-Green"
84.5,"Arabica","Costa Rica","valle central","2017 / 2018","November 28th, 2017",7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,"Bluish-Green"
84.5,"Arabica","Uganda","eastern uganda","2016","March 14th, 2017",7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,"Green"
84.5,"Arabica","China","yunnan","2015","April 6th, 2016",7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,"Green"
84.5,"Arabica","Costa Rica","tarrazu","2014","July 6th, 2015",7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,"Green"
84.5,"Arabica","Colombia","cauca","2015/2016","June 5th, 2015",8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,"Green"
84.5,"Arabica","China","yunnan","2013","June 16th, 2014",7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,"Green"
84.5,"Arabica","Guatemala","oriente","2013","February 26th, 2013",8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,"Green"
84.5,"Arabica","Kenya","nyeri","2012","September 16th, 2012",7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,"Blue-Green"
84.5,"Arabica","Mexico","hustusco","2012","July 11th, 2012",8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,"Green"
84.5,"Arabica","Guatemala","el tumbador, san marcos","2012","February 16th, 2012",7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,"Green"
84.42,"Arabica","Costa Rica","tarrazu","2016","March 23rd, 2017",7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,"Blue-Green"
84.42,"Arabica","Indonesia","sumatra brastagi","2017","March 14th, 2017",7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,"Blue-Green"
84.42,"Arabica","Colombia","pitalito","2015/2016","January 25th, 2016",7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,"Green"
84.42,"Arabica","Colombia","huila","2014","July 9th, 2014",7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,"Green"
84.42,"Arabica","Taiwan","mountain ali, taiwan","2012","July 10th, 2013",7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,"Blue-Green"
84.42,"Arabica","United States (Hawaii)","kona","2012","January 21st, 2013",7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,"Blue-Green"
84.33,"Arabica","Kenya","nyeri","2017 / 2018","August 3rd, 2017",7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,"Green"
84.33,"Arabica","Honduras","comayagua","2016","May 11th, 2017",7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,"Green"
84.33,"Arabica","Colombia","huila","2016","February 20th, 2017",7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,"Green"
84.33,"Arabica","Honduras","central region","2016","April 4th, 2016",7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,"Green"
84.33,"Arabica","Colombia","huila","2015","April 29th, 2015",7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,"Green"
84.33,"Arabica","Colombia","huila","2013","July 19th, 2013",7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,"Green"
84.33,"Arabica","Mexico","tuxtla gutierrez","2012","July 27th, 2012",8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,"Blue-Green"
84.25,"Arabica","Taiwan","國姓鄉 guoshing township","2016","August 10th, 2017",7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,"Blue-Green"
84.25,"Arabica","Thailand","chiang rai thailand","2015","November 2nd, 2016",7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,"Green"
84.25,"Arabica","Colombia","nariño","2016","August 5th, 2016",7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,"Green"
84.25,"Arabica","Guatemala","antigua","2016","May 23rd, 2016",7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,"Green"
84.25,"Arabica","Guatemala","huehuetenango","2015","April 6th, 2016",7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,"Green"
84.25,"Arabica","China","yunnan","2015","April 6th, 2016",7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,"Green"
84.25,"Arabica","Colombia","huila","2015","November 19th, 2015",7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,"Green"
84.25,"Arabica","Colombia","huila","2015","October 26th, 2015",7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,"Green"
84.25,"Arabica","Colombia","cauca","2015/2016","June 5th, 2015",7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,"Green"
84.25,"Arabica","Colombia","huila","2015","April 29th, 2015",7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,"Green"
84.25,"Arabica","Tanzania, United Republic Of","shizingo village","2014","December 12th, 2014",7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,"Green"
84.25,"Arabica","Tanzania, United Republic Of","mbeya","2014","December 12th, 2014",7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,"Green"
84.25,"Arabica","Guatemala","oriente","2014","August 21st, 2014",7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,"Green"
84.25,"Arabica","Colombia","cauca","2013","October 1st, 2013",7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,"Green"
84.25,"Arabica","United States (Hawaii)","kona","2012","December 11th, 2012",7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,"Bluish-Green"
84.25,"Arabica","Mexico","san pedro cotzilnam","2012","September 11th, 2012",7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,"Green"
84.25,"Arabica","Mexico","veracruz","2012","April 9th, 2012",7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,"Green"
84.25,"Arabica","Mexico","la concordia, chiapas","2012","April 2nd, 2012",7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,"Bluish-Green"
84.25,"Arabica","Uganda","kasese","2012","February 13th, 2012",8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,"Green"
84.17,"Arabica","Guatemala","san marcos","2017","June 1st, 2017",7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,"Green"
84.17,"Arabica","Colombia","huila","2016","August 19th, 2016",7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,"Green"
84.17,"Arabica","Costa Rica","tarrazu","2016","August 19th, 2016",7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,"Bluish-Green"
84.17,"Arabica","Guatemala","huehuetenango","2016","June 23rd, 2016",7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,"Green"
84.17,"Arabica","Guatemala","solola","2016","June 1st, 2016",7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,"Green"
84.17,"Arabica","Guatemala","norte","2016","June 1st, 2016",7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,"Green"
84.17,"Arabica","Colombia","huila","2015","August 18th, 2015",8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,"Bluish-Green"
84.17,"Arabica","Nicaragua","jinotega","2015","August 3rd, 2015",7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,"Bluish-Green"
84.17,"Arabica","Costa Rica","tarrazu","2014","April 10th, 2015",7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,"Blue-Green"
84.17,"Arabica","Ethiopia","snnprg; kafa; telo woreda; shada kebele","2014","March 26th, 2015",7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,"Green"
84.17,"Arabica","Tanzania, United Republic Of","arusha","2014","December 12th, 2014",7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,"Green"
84.17,"Arabica","Colombia","huila","2014/2015","October 15th, 2014",7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,"Green"
84.17,"Arabica","Guatemala",NA,"2013","July 16th, 2014",7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,"Bluish-Green"
84.17,"Arabica","Kenya","kenya","2013","November 7th, 2013",7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,"Green"
84.17,"Arabica","Brazil","minas gerais, br","2012","May 20th, 2013",7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,"Green"
84.17,"Arabica","Guatemala","oriente","2013","May 9th, 2013",7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,"Green"
84.17,"Arabica","El Salvador","apaneca","2013","March 18th, 2013",8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,"Bluish-Green"
84.17,"Arabica","Colombia","huila","2012","October 19th, 2012",7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,"Green"
84.17,"Arabica","Guatemala","guatemala","2012","March 26th, 2012",7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,"Bluish-Green"
84.17,"Arabica","Uganda","mt. rwenzori","2012","February 13th, 2012",7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,"Green"
84.13,"Arabica","Indonesia","aceh tengah","2017","May 24th, 2017",7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,"Bluish-Green"
84.08,"Arabica","Colombia","huila","2017 / 2018","November 9th, 2017",7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,"Green"
84.08,"Arabica","Taiwan","nanxi dist., tainan city 臺南市楠西區","2016","May 18th, 2016",7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,"Bluish-Green"
84.08,"Arabica","Guatemala","oriente","2016","April 27th, 2016",8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,"Green"
84.08,"Arabica","Guatemala","aldea xeucalvitz, ixil region, quiche department","2014","June 16th, 2014",7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,"Bluish-Green"
84.08,"Arabica","United States (Hawaii)","kona","2012","January 24th, 2013",7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,"Green"
84.08,"Arabica","Mexico","santo domingo cacalotepec","2012","September 4th, 2012",7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,"Green"
84,"Arabica","Costa Rica",NA,"2017","January 11th, 2018",7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,"None"
84,"Arabica","Ethiopia","sidamo","2017","June 5th, 2017",7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,"Green"
84,"Arabica","Honduras","comayagua","2017","May 11th, 2017",7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,"Green"
84,"Arabica","Guatemala","huehuetenango","2015","June 10th, 2015",7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,"Green"
84,"Arabica","Colombia","huila","2014/2015","December 18th, 2014",7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,"Green"
84,"Arabica","Guatemala","oriente","2014","August 8th, 2014",7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,"Green"
84,"Arabica","Guatemala","oriente","2014","June 27th, 2014",7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,"Green"
84,"Arabica","Colombia","huila","2014","May 27th, 2014",7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,"Green"
84,"Arabica","Colombia","santander","2014","May 27th, 2014",7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,"Green"
84,"Arabica","Colombia","huila","2014","April 8th, 2014",7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,"Green"
84,"Arabica","Ethiopia","sidamo","2013","January 17th, 2014",7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,"Green"
84,"Arabica","Brazil","south of minas","2013/2014","January 2nd, 2014",7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,"Green"
84,"Arabica","Colombia","cauca","2013","June 21st, 2013",7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,"Green"
84,"Arabica","Kenya","blend","2012","March 8th, 2013",7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,"Green"
84,"Arabica","Thailand","thailand","2012","June 21st, 2012",7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,"Green"
84,"Arabica","Kenya","central kenya","2012","May 31st, 2012",7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,"Bluish-Green"
